,ionIdx,ionMz,ionActive,ionAverageInt,ionQualTIC,Top_annotation_name,Top_annotation_ids,Top_annotation_formula,Top_annotation_ion,Top_annotation_score
88,89,188.03485216328286,1,22006.577608048083,0.92449659,1_Nitronaphthalene_5_6_oxide,C14800; C14802,C10H7NO3,-H(-),100
89,90,188.05621084753895,1,30987.134590553916,0.863548815,Acetyl_Glu,C00624,C7H11NO5,-H(-),100
90,91,189.0394621277621,1,7266.228557063211,0.50090557,3_Dehydroquinate,C00944,C7H10O6,-H(-),100
91,92,190.05090510185562,1,17528.412332264495,0.891698,5_Hydroxyindoleacetate,C05635; C16596,C10H9NO3,-H(-),100
92,93,190.97447547345098,1,19877.1596377582,0.54982585,2_Chloromaleylacetate,C06329,C6H5ClO5,-H(-),25
93,94,191.01955564207287,1,2368110.9442945058,-0.40691632,_Iso_Citrate,C00158; C00311,C6H8O7,-H(-),100
94,95,192.06743602293665,1,14841.648251066643,0.37560388,3_Carbamoyl_2_phenylpropionaldehyde,C16587; C16595,C10H11NO3,-H(-),100
95,96,194.0818736918863,1,3667.3675894334315,-0.16473098,Methyl_Tyr,C16586,C10H13NO3,-H(-),100
96,97,195.05118904796439,1,17288.493134674398,0.85617736,Hexonic_acid,C00257; C00800,C6H12O7,-H(-),100
97,98,198.01734841698993,1,5280.1855137466555,0.81093705,P_homoserine,C01102; C05702; C12215,C4H10NO6P,-H(-),100
98,99,198.08818424662613,1,3377.146487174887,0.741361555,gamma_Glutamyl_beta_aminopropiononitrile,C06114,C8H13N3O3,-H(-),100
99,100,203.02194443972866,1,7322.419664593586,0.51265424,Oxaloglutarate,C05533,C7H8O7,-H(-),14
100,101,203.08255984488457,1,47114.25908763203,0.93273395,Tryptophan,C00078,C11H12N2O2,-H(-),100
101,102,205.0350723313084,1,1359083.921811513,-0.0463337375,_R_2_Hydroxybutane_1_2_4_tricarboxylate,C01251; C02225; C05662,C7H10O7,-H(-),100
102,103,206.08174473793704,1,7374.190266272336,0.77212277,Acetyl_Phe,C05620,C11H13NO3,-H(-),100
103,104,207.07752191737933,1,9619.868690657313,0.77956551,Kynurenine,C00328; C05647,C10H12N2O3,-H(-),100
104,105,213.01747228109255,1,48806.46436030173,0.9787939800000001,2_Deoxy_D_ribose_1_phosphate,C00672; C00673,C5H11O7P,-H(-),100
105,106,214.04836794699557,1,89735.05514792458,0.92118618,sn_Glycero_3_phosphoethanolamine,C01233,C5H14NO6P,-H(-),100
106,107,218.03272818275246,1,16732.979573525525,0.8664711700000001,4_Amino_2_methyl_5_phosphomethylpyrimidine,C04556,C6H10N3O4P,-H(-),100
107,108,218.1029270871542,1,26041.11413604534,0.95267594,Pantothenate,C00864,C9H17NO5,-H(-),100
108,109,219.01601334989127,1,7754.811016168495,0.7219871849999999,3_Imidazol_4_yl_2_oxopropyl_phosphate,C01267,C6H9N2O5P,-H(-),37
109,110,221.05991472357496,1,34837.10302506948,0.85044444,Cystathionine,C00542; C02291,C7H14N2O4S,-H(-),100
110,111,223.07171644039343,1,14954.373202329172,0.799491795,3_Hydroxy_L_kynurenine,C03227; C05651,C10H12N2O4,-H(-),100
111,112,225.09029911615383,1,4270.522852412793,0.46137291,Porphobilinogen,C00931,C10H14N2O4,-H(-),14
112,113,225.0984281192517,1,4207.215964618917,0.47407369,Carnosine,C00386,C9H14N4O3,-H(-),100
113,114,226.0130453683515,1,4360.744132768092,0.47056469,L_Glutamyl_5_phosphate,C03287,C5H10NO7P,-H(-),100
114,115,227.03505266125458,1,3629.1422121562464,0.6714004849999999,_R_5_Phosphomevalonate,C01107,C6H13O7P,-H(-),10
115,116,229.01181323026765,1,14979.246732377373,0.92550504,Pentose_P,C00117; C00199; C00231; C00620,C5H11O8P,-H(-),100
116,117,235.16987762315918,1,13896.712970865317,0.86277431,Farnesoic_acid,C16502,C15H24O2,-H(-),100
117,118,237.02777616532074,1,19135.69079883523,0.86138797,D_erythro_1_Imidazol_4_yl_glycerol_3_phosphate,C04666,C6H11N2O6P,-H(-),100
118,119,239.01701919763963,1,6252.8199741320705,0.21692444,L_Cystine,C00491,C6H12N2O4S2,-H(-),100
119,120,242.0788869229463,1,33380.51984941463,0.84769991,Cytidine,C00475; C05711,C9H13N3O5,-H(-),100
120,121,243.06247599526216,1,89763.03273563975,0.93477288,Uridine,C00299; C02067,C9H12N2O6,-H(-),100
121,122,246.01648156700446,1,11084.293234195422,0.8673951049999999,Pyridoxal_phosphate,C00018,C8H10NO6P,-H(-),100
122,123,249.05479066634936,1,87468.94485377926,0.94486147,gamma_L_Glutamyl_L_cysteine,C00669,C8H14N2O5S,-H(-),100
123,124,254.09303796156289,1,5856.23849487006,0.86331704,Nicotinamide_beta_riboside,C03150,C11H15N2O5,-H(-),14
124,125,257.1025222426513,1,4695.165921553383,0.818521235,sn_Glycero_3_phosphocholine,C00670,C8H21NO6P,-H(-),100
125,126,258.03819317123146,1,8182.239546447492,0.89004633,Hexosamine_P,C00352; C12214,C6H14NO8P,-H(-),100
126,127,259.0226563661813,1,152004.55010858615,0.956014125,Hexose_P,C00085; C00092; C00103; C00275; C00446; C00636; C00668; C01094; C01097; C01172; C01177; C03546; C04006; C05345,C6H13O9P,-H(-),100
127,128,264.9515446499056,1,5751.090721752907,0.64200187,3_Phospho_D_glyceroyl_phosphate,C00236,C3H8O10P2,-H(-),100
128,129,267.0726468793383,1,107335.648622834,0.9764467800000001,Inosine,C00294,C10H12N4O5,-H(-),100
129,130,275.0167479459553,1,23658.75194989282,0.65572357,6_Phosphogluconate,C00345,C6H13O10P,-H(-),100
130,131,275.12515953763045,1,15733.939718419535,0.8668720400000001,N6_L_1_3_Dicarboxypropyl_L_lysine,C00449,C11H20N2O6,-H(-),100
131,132,277.2169505585026,1,4423.616558106833,0.66328406,_6Z_9Z_12Z_Octadecatrienoic_acid,C06426; C06427,C18H30O2,-H(-),100
132,133,279.233019341981,1,15112.716750877471,-0.236003565,C18_2,C01595,C18H32O2,-H(-),100
133,134,282.08387921896224,1,26235.687442885122,0.93741274,Guanosine,C00387,C10H13N5O5,-H(-),100
134,135,289.033039837366,1,18665.407767289747,0.83895671,Sedoheptulose_P,C05382,C7H15O10P,-H(-),100
135,136,289.11546965010143,1,6631.837195876097,0.79562128,N_L_Arginino_succinate,C03406,C10H18N4O6,-H(-),100
136,137,296.08430225945983,1,6373.839125368912,0.5992375,5_Methylthioadenosine,C00170,C11H15N5O3S,-H(-),19
137,138,298.07012341791085,1,8724.99760656478,0.8465221199999999,D_4_Phosphopantothenate,C03492,C9H18NO8P,-H(-),100
138,139,300.2887934087193,1,2381.3123494086108,0.61665273,Sphinganine,C00836,C18H39NO2,-H(-),20
139,140,301.2164381332976,1,5220.707540611881,0.88639,_5Z_8Z_11Z_14Z_17Z_Icosapentaenoic_acid,C06428,C20H30O2,-H(-),100
140,141,306.07671891981784,1,2260756.6759402654,0.928276,Glutathione,C00051,C10H17N3O6S,-H(-),76
141,142,306.999110459479,1,4805.224208541836,0.854434075,_R_5_Diphosphomevalonate,C01143,C6H14O10P2,-H(-),100
142,143,312.0626490377959,1,4642.396806418289,0.79493025,FGAM,C04640,C8H16N3O8P,-H(-),10
143,144,313.2173469024214,1,6829.458278469541,0.74820375,Progesterone,C00410,C21H30O2,-H(-),100
144,145,316.2850920231784,1,2790.3756764123664,0.58042598,Phytosphingosine,C12144,C18H39NO3,-H(-),100
145,146,317.2136767888722,1,2752.312560811424,0.7301750199999999,Leukotriene_A4,C00909,C20H30O3,-H(-),48
146,147,321.11187662008007,1,3322.6210996907594,0.859897405,N_R_Pantothenoyl_L_cysteine,C04079,C12H22N2O6S,-H(-),100
147,148,322.0448920471408,1,21403.950384602016,0.79610008,CMP,C00055,C9H14N3O8P,-H(-),100
148,149,323.02803072954623,1,52513.52876134716,0.9284935599999999,UMP,C00105; C01168,C9H13N2O9P,-H(-),100
149,150,338.9888589794211,1,254888.01892007203,0.6149002349999999,Hexose_bisP,C00354; C00665; C01220; C03785; C05378,C6H14O12P2,-H(-),100
150,151,341.10883443764556,1,1873381.681693442,0.8309026049999999,Disaccharide,C00089; C00252; C01083; C05402,C12H22O11,-H(-),100
151,152,346.0551670988397,1,225363.79342961567,0.9086202649999999,AMP,C00020; C00362,C10H14N5O7P,-H(-),100
152,153,347.0413652027469,1,12731.19527491157,0.891186115,IMP,C00130,C10H13N4O8P,-H(-),42
153,154,348.08838391232365,1,5354.878826418084,0.84162557,S_Formylmethyl_glutathione,C14871,C12H19N3O7S,-H(-),63
154,155,355.0666835292589,1,4107.679856773375,0.88625318,5_Amino_6_5_phospho_D_ribitylamino_uracil,C04454,C9H17N4O9P,-H(-),100
155,156,362.0498070080944,1,18317.904095705115,0.80208436,GMP,C00144,C10H14N5O8P,-H(-),100
156,157,363.03396351486157,1,3166.853342333577,0.86619526,Xanthosine_5_phosphate,C00655,C10H13N4O9P,-H(-),100
157,158,367.0181618108377,1,4491.398189074324,0.83913583,Orotidine_5_phosphate,C01103,C10H13N2O11P,-H(-),100
158,159,369.00107841686645,1,53434.00205307235,0.880924995,Sedoheptulose_bisP,C00447,C7H16O13P2,-H(-),30
159,160,381.12345180971107,1,47336.43668670124,0.879761785,trans_trans_Farnesyl_diphosphate,C00448,C15H28O7P2,-H(-),100
160,161,383.11409172796243,1,14797.970762108962,0.80331558,S_Adenosyl_L_homocysteine,C00021,C14H20N6O5S,-H(-),100
161,162,387.00034317775925,1,7109.378069475946,0.8881557600000001,dUDP,C01346,C9H14N2O11P2,-H(-),100
162,163,401.01521401053054,1,6563.360146971447,0.78632146,dTDP,C00363,C10H16N2O11P2,-H(-),100
163,164,402.011245863678,1,18145.858630907154,0.51949513,CDP,C00112,C9H15N3O11P2,-H(-),100
164,165,402.9950292766331,1,77569.39157390872,0.7921330950000001,UDP,C00015,C9H14N2O12P2,-H(-),100
165,166,418.95626548125307,1,15574.287364401893,0.8669011,D_myo_Inositol_1_4_5_trisphosphate,C01245,C6H15O15P3,-H(-),78
166,167,421.0752022034391,1,16995.165851139445,0.857658325,alpha_alpha_Trehalose_6_phosphate,C00689; C16688,C12H23O14P,-H(-),100
167,168,423.16409227447866,1,4914.076556002603,0.904477565,Chitobiose,C01674,C16H28N2O11,-H(-),19
168,169,426.02165603493756,1,177836.19304998606,0.72596073,ADP,C00008; C00054; C00361,C10H15N5O10P2,-H(-),100
169,170,441.33721512441366,1,5467.921248418038,0.89763254,4alpha_Methylzymosterol_4_carboxylate,C15808,C29H46O3,-H(-),100
170,171,442.0165763184607,1,38858.57583715449,0.5875832750000001,GDP,C00035,C10H15N5O11P2,-H(-),100
171,172,449.1860065406329,1,5867.37807034628,0.78701699,Geranylgeranyl_diphosphate,C00353,C20H36O7P2,-H(-),100
172,173,453.0666115639998,1,3340.3544963420936,0.56711768,1_5_Phosphoribosyl_5_amino_4_N_succinocarboxamide_imidazole,C04823,C13H19N4O12P,-H(-),100
173,174,455.0983064123407,1,7219.330154300018,0.79958594,FMN_ox_,C00061,C17H21N4O9P,-H(-),100
174,175,480.98085734754477,1,6334.605315832791,0.58661455,dTTP,C00459,C10H17N2O14P3,-H(-),80
175,176,481.97758040783,1,27148.92295460757,0.81761837,CTP,C00063,C9H16N3O14P3,-H(-),100
176,177,482.9617540218552,1,60451.46754743494,0.44268075,UTP,C00075,C9H15N2O15P3,-H(-),100
177,178,503.1615268788036,1,30473.51911426405,0.81274101,Trisaccharide,C00492; C05404,C18H32O16,-H(-),100
178,179,505.98833634424756,1,139156.94827468484,0.30378025500000005,ATP,C00002; C00286,C10H16N5O13P3,-H(-),100
179,180,521.9827710336759,1,15648.460620186786,0.098789498,GTP,C00044,C10H16N5O14P3,-H(-),100
180,181,539.9956905940822,1,12890.390260237022,0.88489103,Formamidopyrimidine_nucleoside_triphosphate,C05922,C10H18N5O15P3,-H(-),31
181,182,558.0642997590428,1,10534.104764938293,0.77867967,ADP_ribose,C00301; C02741,C15H23N5O14P2,-H(-),100
182,183,563.0688298696316,1,16006.272884149905,0.78917611,dTDP_hexose,C00842; C02097,C16H26N2O16P2,-H(-),100
183,184,565.0481935818777,1,150453.56407321212,0.84562653,UDP_hexose,C00029; C00052,C15H24N2O17P2,-H(-),100
184,185,604.0699268756201,1,27740.569772892348,0.65581763,GDP_hexose,C00096,C16H25N5O16P2,-H(-),100
185,186,606.0748449358507,1,703723.3898838039,0.838873115,UDP_acetyl_hexosamine,C00043,C17H27N3O17P2,-H(-),97
186,187,611.1437410428562,1,17578.88013261577,0.68215847,Glutathione_disulfide,C00127,C20H32N6O12S2,-H(-),100
187,188,664.117657896186,1,64359.60998767349,0.789410145,NADH_red_,C00004,C21H29N7O14P2,-H(-),100
188,189,665.2134904044358,1,7991.123223934855,0.6716543150000001,Stachyose,C01613,C24H42O21,-H(-),84
189,190,766.107161365631,1,3474.775661551283,0.76758197,CoA,C00010,C21H36N7O16P3S,-H(-),100
190,191,784.1493223329196,1,4139.051118714967,0.76609808,FAD_ox_,C00016,C27H33N9O15P2,-H(-),100
191,192,808.1183320994912,1,20384.23349266789,0.7368132199999999,Acetyl_CoA,C00024,C23H38N7O17P3S,-H(-),100
